source,track_uri,track_name,artist_name,artist_popularity,artist_genres,album,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
playlist,spotify:track:2nLtzopw4rPReszdYBJU6h,Numb,Linkin Park,84,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",Meteora,80,0.488,0.87,6,-4.185,0,0.0421,0.00353,0,0.484,0.211,110.072,audio_features,2nLtzopw4rPReszdYBJU6h,spotify:track:2nLtzopw4rPReszdYBJU6h,https://api.spotify.com/v1/tracks/2nLtzopw4rPReszdYBJU6h,https://api.spotify.com/v1/audio-analysis/2nLtzopw4rPReszdYBJU6h,187520,4
playlist,spotify:track:62yJjFtgkhUrXktIoSjgP2,Radioactive,Imagine Dragons,86,"['modern rock', 'pop', 'rock']",Night Visions,74,0.448,0.784,9,-3.686,1,0.0625,0.0999,0.000108,0.668,0.237,136.239,audio_features,62yJjFtgkhUrXktIoSjgP2,spotify:track:62yJjFtgkhUrXktIoSjgP2,https://api.spotify.com/v1/tracks/62yJjFtgkhUrXktIoSjgP2,https://api.spotify.com/v1/audio-analysis/62yJjFtgkhUrXktIoSjgP2,186813,4
playlist,spotify:track:6Qyc6fS4DsZjB2mRW9DsQs,Iris,The Goo Goo Dolls,71,"['neo mellow', 'permanent wave', 'pop rock', 'post-grunge']",Dizzy up the Girl,80,0.315,0.715,11,-8.072,0,0.0362,0.00125,7.97E-06,0.0942,0.497,155.925,audio_features,6Qyc6fS4DsZjB2mRW9DsQs,spotify:track:6Qyc6fS4DsZjB2mRW9DsQs,https://api.spotify.com/v1/tracks/6Qyc6fS4DsZjB2mRW9DsQs,https://api.spotify.com/v1/audio-analysis/6Qyc6fS4DsZjB2mRW9DsQs,289533,3
playlist,spotify:track:4VrWlk8IQxevMvERoX08iC,Chandelier,Sia,82,"['australian dance', 'australian pop', 'pop']",1000 Forms Of Fear,76,0.399,0.787,1,-2.88,1,0.0499,0.0197,6.07E-05,0.0685,0.572,117.089,audio_features,4VrWlk8IQxevMvERoX08iC,spotify:track:4VrWlk8IQxevMvERoX08iC,https://api.spotify.com/v1/tracks/4VrWlk8IQxevMvERoX08iC,https://api.spotify.com/v1/audio-analysis/4VrWlk8IQxevMvERoX08iC,216120,5
playlist,spotify:track:6VbmeIWTbNHM5uqoW7GTE4,Sheila Ki Jawani,Sunidhi Chauhan,72,"['filmi', 'modern bollywood']",Tees Maar Khan,59,0.803,0.859,6,-4.405,0,0.185,0.305,6.18E-05,0.553,0.631,101.007,audio_features,6VbmeIWTbNHM5uqoW7GTE4,spotify:track:6VbmeIWTbNHM5uqoW7GTE4,https://api.spotify.com/v1/tracks/6VbmeIWTbNHM5uqoW7GTE4,https://api.spotify.com/v1/audio-analysis/6VbmeIWTbNHM5uqoW7GTE4,281707,4
playlist,spotify:track:6IR6mzRO60hnMjNoq8rCPE,"Teri Baaton Mein Aisa Uljha Jiya Title Song (From ""Teri Baaton Mein Aisa Uljha Jiya"")",Raghav,60,"['desi pop', 'hindi indie']","Teri Baaton Mein Aisa Uljha Jiya Title Song (From ""Teri Baaton Mein Aisa Uljha Jiya"")",69,0.814,0.819,2,-3.585,1,0.0454,0.124,0.000245,0.0496,0.661,96.979,audio_features,6IR6mzRO60hnMjNoq8rCPE,spotify:track:6IR6mzRO60hnMjNoq8rCPE,https://api.spotify.com/v1/tracks/6IR6mzRO60hnMjNoq8rCPE,https://api.spotify.com/v1/audio-analysis/6IR6mzRO60hnMjNoq8rCPE,153083,4
playlist,spotify:track:1rEVydQSe04NJUqyyEyeEq,Afghan Jalebi (Film Version),Pritam,85,"['filmi', 'indian instrumental', 'modern bollywood']",Phantom,57,0.84,0.884,0,-3.217,1,0.334,0.427,0,0.0885,0.972,118.007,audio_features,1rEVydQSe04NJUqyyEyeEq,spotify:track:1rEVydQSe04NJUqyyEyeEq,https://api.spotify.com/v1/tracks/1rEVydQSe04NJUqyyEyeEq,https://api.spotify.com/v1/audio-analysis/1rEVydQSe04NJUqyyEyeEq,224207,4
playlist,spotify:track:1gEHNfJRSXpDVaEicwRRfe,Zinda,Amit Trivedi,66,"['filmi', 'modern bollywood']",Lootera,49,0.493,0.418,9,-9.693,1,0.0261,0.436,0.102,0.104,0.22,89.982,audio_features,1gEHNfJRSXpDVaEicwRRfe,spotify:track:1gEHNfJRSXpDVaEicwRRfe,https://api.spotify.com/v1/tracks/1gEHNfJRSXpDVaEicwRRfe,https://api.spotify.com/v1/audio-analysis/1gEHNfJRSXpDVaEicwRRfe,241962,4
playlist,spotify:track:0V6i9XZ7NOfXQAygSaswnM,Le Le Mazaa Le,Suzanne,48,['modern bollywood'],Wanted,52,0.742,0.875,2,-5.212,1,0.0879,0.262,0.00994,0.244,0.872,181.539,audio_features,0V6i9XZ7NOfXQAygSaswnM,spotify:track:0V6i9XZ7NOfXQAygSaswnM,https://api.spotify.com/v1/tracks/0V6i9XZ7NOfXQAygSaswnM,https://api.spotify.com/v1/audio-analysis/0V6i9XZ7NOfXQAygSaswnM,250183,3
playlist,spotify:track:00RBUC7CPnPntU3Ps320uU,"Sahiba (From ""Phillauri"")",Shashwat Sachdev,49,"['desi pop', 'modern bollywood']","Sahiba (From ""Phillauri"")",47,0.653,0.563,4,-5.803,1,0.053,0.449,0,0.191,0.563,160.905,audio_features,00RBUC7CPnPntU3Ps320uU,spotify:track:00RBUC7CPnPntU3Ps320uU,https://api.spotify.com/v1/tracks/00RBUC7CPnPntU3Ps320uU,https://api.spotify.com/v1/audio-analysis/00RBUC7CPnPntU3Ps320uU,329375,4
